id,Rehnquist,Stevens,OConnor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
1,0,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,1,1,1,1,1,1,1,1,1
5,0,1,0,0,1,1,0,1,1
6,0,0,0,0,0,0,,0,0
7,1,1,1,0,1,1,0,1,1
8,0,1,0,0,0,0,0,,0
9,0,0,0,0,0,0,0,0,0
10,1,1,1,1,1,1,1,1,1
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,1,0,1,1,1,0,1,0
15,0,1,0,0,0,0,0,1,1
16,0,1,0,0,0,0,0,0,0
17,0,1,0,0,0,1,0,0,0
18,1,0,0,,1,1,0,1,1
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,1,1,1,0,1,1,0,1,1
22,0,1,1,0,0,1,0,1,1
23,1,1,1,1,1,1,1,1,1
24,0,1,0,0,0,0,0,0,0
25,1,1,0,1,1,1,1,1,1
26,0,0,0,0,0,0,0,0,0
27,0,1,1,0,1,1,0,1,1
28,0,1,1,0,1,1,0,1,1
29,0,1,1,0,1,1,0,1,1
30,0,1,0,0,0,0,0,0,0
31,1,,1,1,1,1,1,1,
32,1,,1,1,1,1,1,1,
33,0,0,0,0,0,0,0,0,0
34,0,0,1,0,0,0,0,0,1
35,0,0,1,0,0,0,0,0,1
36,0,0,0,0,0,0,0,0,0
37,0,0,0,1,0,0,1,1,1
38,0,1,0,0,0,0,0,1,0
39,0,0,0,0,0,0,0,0,0
40,1,1,1,1,1,1,0,1,1
41,0,0,0,0,0,0,0,0,0
42,0,0,1,1,0,1,1,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,1,1,0,1,1,1,1,1,0
48,0,,0,0,0,0,0,0,
49,0,1,0,0,0,0,0,0,0
50,,,,,,,,,
51,,,,,,,,,
52,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0
54,1,1,1,1,1,1,1,1,1
55,0,1,0,0,0,0,0,1,0
56,0,1,1,0,1,1,1,1,1
57,0,0,1,0,0,1,0,0,1
58,0,1,1,0,0,1,0,1,1
59,1,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1
61,0,1,0,0,0,1,0,0,0
62,1,0,0,0,1,0,1,0,0
63,0,1,0,0,0,1,0,1,1
64,0,1,0,0,0,1,0,1,1
65,0,1,0,0,0,1,0,1,1
66,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0
70,,,,,,,,,
71,0,1,0,1,1,0,1,1,1
72,1,1,1,0,0,1,0,1,1
73,1,1,1,1,1,1,1,1,1
74,0,1,0,0,0,0,0,0,1
75,0,1,0,0,1,1,0,1,1
76,0,1,0,0,1,1,0,1,1
77,0,1,0,0,1,1,0,1,1
78,0,1,0,0,1,1,0,1,1
79,0,1,0,0,1,1,0,1,1
80,0,1,0,0,1,1,0,1,1
81,1,1,1,1,1,1,1,1,1
82,1,1,1,1,1,1,1,1,1
83,,,,,,,,,
84,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0
86,0,1,1,1,1,1,0,1,1
87,0,1,0,0,0,0,0,0,0
88,0,1,0,0,0,1,0,1,1
89,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,
91,0,1,0,0,0,1,0,1,1
92,1,1,1,1,1,1,1,1,
93,0,1,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0
95,1,1,1,1,1,1,1,1,1
96,1,1,1,1,1,1,1,1,1
97,1,1,,1,1,1,,1,1
98,1,1,0,1,1,0,0,1,1
99,1,1,1,1,1,1,1,1,1
100,0,1,0,0,0,0,0,0,0
101,0,1,1,0,1,0,0,1,1
102,0,1,1,0,0,1,0,0,1
103,0,0,0,0,0,0,0,0,0
104,0,1,0,0,0,1,0,1,1
105,1,1,1,1,1,1,1,1,1
106,1,1,1,1,1,1,1,1,1
107,0,1,0,0,0,0,0,0,
108,1,1,1,1,1,1,1,1,1
109,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0
111,1,1,1,0,0,1,0,1,1
112,0,1,0,0,0,0,0,0,0
113,0,1,0,0,1,1,0,1,0
114,0,1,1,0,0,1,0,0,0
115,0,1,1,0,1,1,0,1,1
116,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0
118,0,1,0,0,0,0,0,1,0
119,0,1,0,0,0,1,0,1,1
120,0,1,0,0,0,1,0,1,1
121,0,1,0,0,0,1,0,1,1
122,0,1,0,0,0,1,0,1,1
123,0,1,0,0,0,1,0,1,1
