"","ID","TrackID","LastfmID","Artist","Title","UserID","Valence","Arousal","Tension","Atmospheric","Happy","Dark","Sad","Angry","Sensual","Sentimental"
"1",170001,1,372,"Autechre","Dael",17,6,2,1,1,6,5,4,7,8,6
"2",530001,1,372,"Autechre","Dael",53,1,6,3,6,1,1,7,4,9,1
"3",550001,1,372,"Autechre","Dael",55,1,4,1,6,1,1,7,2,9,1
"4",290001,1,372,"Autechre","Dael",29,3,7,5,4,2,1,6,4,6,1
"5",190001,1,372,"Autechre","Dael",19,4,1,4,1,1,1,4,5,6,1
"6",450001,1,372,"Autechre","Dael",45,1,3,2,2,2,3,4,4,6,5
"7",340001,1,372,"Autechre","Dael",34,1,7,4,6,1,1,6,3,7,3
"8",30001,1,372,"Autechre","Dael",3,3,6,6,6,2,3,6,3,8,6
"9",160001,1,372,"Autechre","Dael",16,2,8,2,6,2,2,NA,3,6,6
"10",60001,1,372,"Autechre","Dael",6,1,6,5,4,6,4,4,3,9,7
"11",420001,1,372,"Autechre","Dael",42,3,7,3,6,5,2,4,4,5,7
"12",240001,1,372,"Autechre","Dael",24,2,7,NA,6,6,3,6,3,8,6
"13",330001,1,372,"Autechre","Dael",33,4,6,2,1,1,1,6,4,8,4
"14",100001,1,372,"Autechre","Dael",10,1,7,1,3,1,1,3,2,9,4
"15",230001,1,372,"Autechre","Dael",23,1,8,6,9,1,1,8,2,9,6
"16",260001,1,372,"Autechre","Dael",26,2,4,1,3,1,1,7,6,6,3
"17",460001,1,372,"Autechre","Dael",46,4,5,4,3,1,1,4,3,9,4
"18",470001,1,372,"Autechre","Dael",47,1,5,1,3,1,1,3,4,8,5
"19",320001,1,372,"Autechre","Dael",32,2,7,4,6,1,1,6,3,7,6
"20",220001,1,372,"Autechre","Dael",22,4,7,5,6,3,4,7,3,7,6
"21",110001,1,372,"Autechre","Dael",11,5,6,3,3,3,2,2,4,6,8
"22",560001,1,372,"Autechre","Dael",56,1,5,1,NA,4,1,4,5,8,8
"23",200001,1,372,"Autechre","Dael",20,1,6,1,6,1,1,7,3,8,1
"24",70001,1,372,"Autechre","Dael",7,5,7,5,5,1,1,7,5,8,8
"25",180001,1,372,"Autechre","Dael",18,3,6,3,7,3,3,7,3,8,6
"26",250001,1,372,"Autechre","Dael",25,3,5,3,4,1,1,4,4,6,2
"27",440001,1,372,"Autechre","Dael",44,3,6,5,5,2,2,5,5,6,7
"28",410001,1,372,"Autechre","Dael",41,2,3,2,4,5,3,6,6,5,4
"29",370001,1,372,"Autechre","Dael",37,3,8,4,7,2,1,3,1,9,4
"30",360001,1,372,"Autechre","Dael",36,1,7,2,2,1,1,5,3,5,4
"31",220002,2,684,"Lalo Schifrin","Music To Interrogate By",22,7,3,3,3,6,6,7,7,2,7
"32",110002,2,684,"Lalo Schifrin","Music To Interrogate By",11,6,2,2,2,2,5,6,8,3,6
"33",160002,2,684,"Lalo Schifrin","Music To Interrogate By",16,8,NA,4,2,3,2,7,8,3,3
"34",420002,2,684,"Lalo Schifrin","Music To Interrogate By",42,6,3,3,2,2,4,7,7,4,6
"35",360002,2,684,"Lalo Schifrin","Music To Interrogate By",36,8,1,1,1,1,1,6,7,5,3
"36",100002,2,684,"Lalo Schifrin","Music To Interrogate By",10,7,1,1,1,1,1,8,8,6,3
"37",470002,2,684,"Lalo Schifrin","Music To Interrogate By",47,5,1,1,1,1,3,7,8,3,3
"38",370002,2,684,"Lalo Schifrin","Music To Interrogate By",37,8,1,1,1,2,1,8,9,2,3
"39",250002,2,684,"Lalo Schifrin","Music To Interrogate By",25,9,1,1,1,1,1,7,9,4,1
"40",340002,2,684,"Lalo Schifrin","Music To Interrogate By",34,9,1,1,1,3,1,5,9,5,8
"41",560002,2,684,"Lalo Schifrin","Music To Interrogate By",56,5,1,1,1,1,1,6,8,4,1
"42",260002,2,684,"Lalo Schifrin","Music To Interrogate By",26,8,1,1,1,1,1,8,7,2,6
"43",460002,2,684,"Lalo Schifrin","Music To Interrogate By",46,8,1,4,1,1,1,6,6,2,2
"44",330002,2,684,"Lalo Schifrin","Music To Interrogate By",33,6,1,2,1,1,1,7,8,6,2
"45",240002,2,684,"Lalo Schifrin","Music To Interrogate By",24,6,2,2,2,2,3,7,6,3,6
"46",170002,2,684,"Lalo Schifrin","Music To Interrogate By",17,7,2,1,1,4,1,7,9,4,5
"47",190002,2,684,"Lalo Schifrin","Music To Interrogate By",19,9,1,1,1,1,1,6,8,4,6
"48",410002,2,684,"Lalo Schifrin","Music To Interrogate By",41,7,1,3,2,4,5,8,8,4,3
"49",520002,2,684,"Lalo Schifrin","Music To Interrogate By",52,7,1,1,1,2,3,7,7,4,5
"50",380002,2,684,"Lalo Schifrin","Music To Interrogate By",38,7,1,1,1,6,6,7,7,3,6
"51",70002,2,684,"Lalo Schifrin","Music To Interrogate By",7,7,1,2,1,3,4,7,7,6,6
"52",30002,2,684,"Lalo Schifrin","Music To Interrogate By",3,8,2,6,2,2,6,7,8,3,6
