docketId,caseId,dateDecision,decisionType,term,naturalCourt,chief,docket,issue,issueArea,decisionDirection,declarationUncon,caseDisposition,partyWinning,Reversal,majVotes,minVotes,voteAFortas,directionAFortas,majorityAFortas,voteAJGoldberg,directionAJGoldberg,majorityAJGoldberg,voteAMKennedy,directionAMKennedy,majorityAMKennedy,voteAScalia,directionAScalia,majorityAScalia,voteBRWhite,directionBRWhite,majorityBRWhite,voteCEWhittaker,directionCEWhittaker,majorityCEWhittaker,voteCThomas,directionCThomas,majorityCThomas,voteDHSouter,directionDHSouter,majorityDHSouter,voteEKagan,directionEKagan,majorityEKagan,voteEWarren,directionEWarren,majorityEWarren,voteFFrankfurter,directionFFrankfurter,majorityFFrankfurter,voteFMVinson,directionFMVinson,majorityFMVinson,voteFMurphy,directionFMurphy,majorityFMurphy,voteHABlackmun,directionHABlackmun,majorityHABlackmun,voteHHBurton,directionHHBurton,majorityHHBurton,voteHLBlack,directionHLBlack,majorityHLBlack,voteJGRoberts,directionJGRoberts,majorityJGRoberts,voteJHarlan2,directionJHarlan2,majorityJHarlan2,voteJPStevens,directionJPStevens,majorityJPStevens,voteLFPowell,directionLFPowell,majorityLFPowell,voteNMGorsuch,directionNMGorsuch,majorityNMGorsuch,votePStewart,directionPStewart,majorityPStewart,voteRBGinsburg,directionRBGinsburg,majorityRBGinsburg,voteRHJackson,directionRHJackson,majorityRHJackson,voteSAAlito,directionSAAlito,majoritySAAlito,voteSDOConnor,directionSDOConnor,majoritySDOConnor,voteSFReed,directionSFReed,majoritySFReed,voteSGBreyer,directionSGBreyer,majoritySGBreyer,voteSMinton,directionSMinton,majoritySMinton,voteSSotomayor,directionSSotomayor,majoritySSotomayor,voteTCClark,directionTCClark,majorityTCClark,voteTMarshall,directionTMarshall,majorityTMarshall,voteWBRutledge,directionWBRutledge,majorityWBRutledge,voteWEBurger,directionWEBurger,majorityWEBurger,voteWHRehnquist,directionWHRehnquist,majorityWHRehnquist,voteWJBrennan,directionWJBrennan,majorityWJBrennan,voteWODouglas,directionWODouglas,majorityWODouglas
1946-001-01,1946-001,1946-Nov-18,1,1946,1301,Vinson,24,80180,8,2,1,3,1,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,1,0,1,1,0,1,,,,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-002-01,1946-002,1946-Nov-18,1,1946,1301,Vinson,12,10500,1,1,1,2,0,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,0,0,,,,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,1,1,1,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,,1,1,1
1946-002-02,1946-002,1946-Nov-18,1,1946,1301,Vinson,17,10500,1,1,1,2,0,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,0,0,,,,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,1,1,1,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,,1,1,1
1946-002-03,1946-002,1946-Nov-18,1,1946,1301,Vinson,14,10500,1,1,1,2,0,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,0,0,,,,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,1,1,1,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,,1,1,1
1946-002-04,1946-002,1946-Nov-18,1,1946,1301,Vinson,19,10500,1,1,1,2,0,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,0,0,,,,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,1,1,1,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,,1,1,1
1946-002-05,1946-002,1946-Nov-18,1,1946,1301,Vinson,13,10500,1,1,1,2,0,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,0,0,,,,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,1,1,1,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,,1,1,1
1946-002-06,1946-002,1946-Nov-18,1,1946,1301,Vinson,16,10500,1,1,1,2,0,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,0,0,,,,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,1,1,1,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,,1,1,1
1946-002-07,1946-002,1946-Nov-18,1,1946,1301,Vinson,15,10500,1,1,1,2,0,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,0,0,,,,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,1,1,1,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,,1,1,1
1946-002-08,1946-002,1946-Nov-18,1,1946,1301,Vinson,18,10500,1,1,1,2,0,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,0,0,,,,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,1,1,1,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,,1,1,1
1946-003-01,1946-003,1946-Nov-18,1,1946,1301,Vinson,21,80250,8,2,1,2,0,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,1,0,1,,,,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,2,1,0,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,2,1,0
